scorer,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000
bodyparts,jaw,jaw,jaw,toe-bot,toe-bot,toe-bot,toe-top,toe-top,toe-top,tongue,tongue,tongue
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
43,615.6235597133636,284.04708594083786,1.0,225.60242915153503,450.7610101699829,1.0,214.6427493095398,140.8180694580078,1.0,626.3084635734558,283.2245421409607,0.00034217126085422933
44,615.3948163986206,283.89417600631714,1.0,225.60187482833862,450.84209728240967,1.0,214.63653588294983,140.8251142501831,1.0,626.0868654251099,282.7975265979767,0.00025457379524596035
45,614.9650309085846,283.41517639160156,1.0,225.79963493347168,450.92515897750854,1.0,214.60900592803955,140.96638870239258,1.0,626.0975799560547,282.94176185131073,0.00038125485298223794
46,615.659982919693,280.9388122558594,1.0,225.83711862564087,451.1245861053467,1.0,214.6304154396057,141.09183597564697,1.0,626.782811164856,282.3479458093643,0.0003094521234743297
47,614.838481426239,280.3847050666809,1.0,226.56402790546417,451.04793310165405,1.0,215.19632649421692,142.3717794418335,1.0,616.8571348190308,265.09464955329895,0.000254676939221099
48,611.6626515686512,279.3697326183319,1.0,225.96588563919067,451.03434467315674,1.0,215.88931012153625,142.3329610824585,1.0,621.9460657835007,263.7980070114136,0.17333252727985382
49,613.3705500364304,278.61092472076416,1.0,226.7164604663849,451.62137365341187,1.0,215.92711400985718,143.84305620193481,1.0,625.6821737289429,260.89503741264343,0.35202300548553467
50,613.146652340889,280.36388969421387,1.0,226.5777953863144,451.39811277389526,1.0,215.79189610481262,143.60728120803833,1.0,637.1907593011856,259.71311074495316,1.0
51,615.118625164032,281.59967517852783,1.0,226.57635855674744,451.44920349121094,1.0,215.9063172340393,143.62876296043396,1.0,641.6763644218445,258.8961591720581,1.0
52,614.4990422725677,280.9022116661072,1.0,226.58230555057526,451.24178647994995,1.0,215.64459228515625,143.77145671844482,1.0,643.8569226264954,259.3336679339409,1.0
